State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AL,US,Bunker Fuels ,All GHG,1.460119599,1.794960104,1.587652211,1.445418842,1.26130735,1.310858634,1.274507025,1.201747281,0.799964748,0.74213981,1.156776042,0.64831124,1.0724285,0.897096286,1.269487599,1.026446672,1.040882546,0.793072319,0.887551025,0.744064901,0.868900932,0.795362232,0.734154365,0.588927997,0.693777648,0.60084344,0.699133677,0.718978476,0.636393013,0.623295048,0.448397759
USA.AL,US,Land-Use Change and Forestry ,All GHG,-63.24,-63.43,-63.15,-69.56,-70.64,-69.46,-69.9,-68.9,-68.76,-68.65,-69.3,-68.68,-69.51,-69.65,-69.96,-70.46,-71.39,-71.34,-71.59,-72.04,-72.37,-74.04,-75.18,-74.85,-75.13,-76.2,-76.45,-75.9,-75.21,-74.5,-75.34
USA.AL,US,Waste ,All GHG,3.64170746,3.770056216,3.951060537,3.994668452,4.094761952,4.192765617,4.287576893,4.372592414,4.448692421,4.253619274,4.288059224,4.494631844,4.65007801,4.584742474,4.534843886,4.685992192,4.851639958,4.986378207,4.911131812,4.919364094,4.639391606,4.598077263,3.897255027,3.682791844,3.822928572,3.810652976,3.801456223,3.795326511,3.616473078,3.888611946,3.717163875
USA.AL,US,Agriculture ,All GHG,7.429459346,7.25637253,7.290446362,7.654980932,7.316357577,7.311043915,7.401866357,6.873039542,6.940169947,6.549567506,6.291222504,6.367596008,6.213405355,6.412589447,6.450415988,6.250926811,6.094525547,6.286848651,6.249867856,6.137281497,6.06416014,5.859240933,5.934639596,6.610465624,6.581866012,6.480217846,6.103532951,6.288473405,6.418087082,6.340630322,6.322128629
USA.AL,US,Industrial Processes ,All GHG,3.44282713,3.379243158,3.387601074,4.148637279,4.57780142,4.880543947,5.150720054,7.842528166,8.119894997,8.031396573,8.171181641,8.226584379,8.796828898,9.204256716,9.502647696,9.4155789,9.979349152,9.926065877,9.606575681,8.34622431,9.348459693,8.955090972,8.657812945,8.945373493,9.412123849,9.434523611,9.177399862,9.153044165,9.120682702,9.081414772,8.925777953
USA.AL,US,Energy ,All GHG,118.0984661,122.1306661,127.90334,131.2799987,131.3941495,141.3645396,145.3962273,141.3147935,142.4943574,144.867173,151.0730152,142.6689428,145.8638512,147.4444063,149.2924179,149.6756102,151.5538173,154.3602415,149.6526326,130.9009505,142.2452666,138.1266668,130.1083325,127.9166236,128.3729867,118.2723396,112.4984896,107.0030741,110.9233955,105.1969137,97.81301439
USA.AL,US,Total excluding LUCF,F-Gas,0.51518374,0.499594793,0.529870873,0.605342437,0.756840911,1.065571698,1.275690465,1.470645008,1.576996473,1.743819934,1.856833429,1.951467692,2.010126978,2.063237187,2.111016749,2.16597899,2.261948637,2.366834704,2.510401776,3.185946905,3.190015149,3.77240408,3.156012082,3.226851463,3.479781547,3.518781204,3.532083046,3.517772489,3.547967187,3.650044247,3.731755448
USA.AL,US,Total excluding LUCF,N2O,5.603955261,5.57163415,5.681758106,6.065947054,5.721103523,5.704263492,5.895916403,5.645162945,5.767003163,5.442198642,5.217569495,5.335191668,5.141798201,5.202726694,5.322897006,5.133328601,4.990879501,5.12488626,5.085627467,4.735803726,4.706341793,4.527592892,4.486490769,5.084432423,5.051123052,4.967305648,4.529205447,4.581625382,4.629723193,4.688319143,4.593786552
USA.AL,US,Total excluding LUCF,CH4,23.64296128,23.41907846,22.54370808,21.04395369,23.09768047,25.29247778,23.41106357,21.66440462,21.67770137,21.04561411,21.00995754,19.76058123,18.1493625,18.45762481,17.91101921,16.83101322,16.49373244,17.97188199,20.97916451,20.70794162,19.86554415,18.47096547,17.10925475,16.66678156,16.13919153,8.212583296,8.152037419,8.199639695,8.014712409,8.0697954,7.818540814
USA.AL,US,Total excluding LUCF,CO2,102.8503597,107.0460306,113.7771109,119.3630422,117.8074455,125.6865801,131.6537202,131.622741,132.9814138,135.4701236,141.7391182,134.7105144,140.2228758,141.9224063,144.4353925,145.8977873,148.7327713,150.0959313,141.8450142,121.6741281,134.5353769,130.7681136,123.8462825,122.1771891,123.519809,121.2990639,115.3675527,109.9408806,113.8862356,108.099412,100.634002
